,No Mitigation,Adverary Debiasing,Reweighting,Rejection Option,Optimized Preprocessing,,,,,
Equal Opportunity Difference,-0.403552,-0.169333,-0.0225,-0.0062,-0.26,,,,,
Disparate Impact,0.324389,0.584487,0.8894,0.9158,0.7389,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,Equal Opportunity Difference,Disparate Impact
,,,,,,,,No Mitigation,-0.403552,0.324389
,,,,,,,,Adverary Debiasing,-0.169333,0.584487
,TE,DE,ED,ID,,,,Reweighting,-0.0225,0.8894
No Mitigation,0.15,0.152,-0.004,0.002,,,,Rejection Option,-0.0062,0.9158
Adverary Debiasing,0.169,0.171,-0.006,0.005,,,,Optimized Preprocessing,-0.26,0.7389
Reweighting,0.153,0.153,-0.004,0.003,,,,,,
Rejection Option,0.042,0.046,-0.007,0.003,,,,,,
Optimized Preprocessing,0.188,0.192,-0.004,0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,TE(y) - TE(\hat{y}),DE(y) - DE(\hat{y}),ED(y) - ED(\hat{y}),ID(y) - ID(\hat{y}),Equal Opportunity Improvement,Disparate Impact Improvement,,,,
Adverary Debiasing,-0.019,-0.019,0.002,-0.003,0.234219,0.260098,,,,
Reweighting,-0.003,-0.001,0,-0.001,0.381052,0.565011,,,,
Rejection Option,0.108,0.106,0.003,-0.001,0.397352,0.591411,,,,
Optimized Preprocessing,-0.038,-0.04,0,0.003,0.143552,0.414511,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,TE(y) - TE(\hat{y}),DE(y) - DE(\hat{y}),ED(y) - ED(\hat{y}),ID(y) - ID(\hat{y}),Equal Opportunity Improvement,Disparate Impact Improvement,,,,
Adverary Debiasing,-0.019,-0.019,0.002,-0.003,0.234219,0.260098,,,,
Reweighting,-0.003,-0.001,0,-0.001,0.146833,0.565011,,,,
Rejection Option,0.108,0.106,0.003,-0.001,0.0163,0.591411,,,,
Optimized Preprocessing,-0.038,-0.04,0,0.003,-0.2538,0.414511,,,,
,,,,,,,,,,
,,,,,,,,,,
,Adverary Debiasing,Reweighting,Rejection Option,Optimized Preprocessing,,,,,,
$TE(y) - TE(\hat{y})$,-0.019,-0.003,0.108,-0.038,,,,,,
$DE(y) - DE(\hat{y})$,-0.019,-0.001,0.106,-0.040,,,,,,
$ED(y) - ED(\hat{y})$,0.002,0.000,0.003,0.000,,,,,,
$ID(y) - ID(\hat{y})$,-0.003,-0.001,-0.001,0.003,,,,,,
Equal Opportunity Improvement,0.234,0.381,0.397,0.144,,,,,,
Disparate Impact Improvement,0.260,0.565,0.591,0.415,,,,,,
,,,,,,0.234219,,,,
,,,,,,0.381052,,,,
,,,,,,0.397352,,,,
,,,,,,0.143552,,,,
