,AGEP,COW,SCHL,MAR,WKHP,SEX,INCOME
35956,29.0,1.0,23.0,5.0,30.0,Female,0.0
26391,27.0,1.0,19.0,5.0,17.0,Female,0.0
82171,22.0,1.0,16.0,5.0,40.0,Female,0.0
67041,21.0,2.0,19.0,5.0,40.0,Female,0.0
80323,49.0,1.0,21.0,5.0,40.0,Female,0.0
539,21.0,4.0,19.0,5.0,10.0,Female,0.0
58464,49.0,1.0,9.0,1.0,70.0,Female,0.0
17977,49.0,1.0,21.0,1.0,26.0,Female,0.0
77856,63.0,1.0,19.0,3.0,40.0,Female,0.0
18233,36.0,2.0,22.0,1.0,40.0,Female,0.0
8335,41.0,2.0,21.0,5.0,40.0,Female,0.0
39748,24.0,1.0,21.0,5.0,40.0,Female,0.0
83556,21.0,1.0,16.0,5.0,20.0,Female,0.0
67131,57.0,3.0,20.0,1.0,38.0,Female,0.0
32032,60.0,2.0,18.0,1.0,24.0,Female,0.0
58923,27.0,1.0,19.0,1.0,30.0,Female,0.0
84312,74.0,6.0,22.0,1.0,15.0,Female,0.0
95309,26.0,6.0,24.0,1.0,55.0,Female,0.0
102383,31.0,1.0,21.0,5.0,40.0,Female,0.0
100359,47.0,1.0,20.0,1.0,40.0,Female,0.0
85590,59.0,1.0,16.0,5.0,40.0,Female,0.0
81196,23.0,1.0,16.0,5.0,25.0,Female,0.0
15873,28.0,4.0,20.0,5.0,38.0,Female,0.0
36034,40.0,1.0,22.0,1.0,2.0,Female,0.0
12949,58.0,2.0,24.0,1.0,25.0,Female,0.0
41658,46.0,6.0,20.0,3.0,33.0,Female,0.0
6428,43.0,1.0,21.0,1.0,40.0,Female,0.0
13444,35.0,2.0,21.0,5.0,20.0,Female,0.0
50354,61.0,1.0,14.0,3.0,40.0,Female,0.0
73883,50.0,6.0,23.0,2.0,60.0,Female,0.0
48576,41.0,6.0,21.0,1.0,35.0,Female,0.0
71892,22.0,1.0,15.0,5.0,30.0,Female,0.0
22192,53.0,7.0,21.0,1.0,30.0,Female,0.0
35978,61.0,1.0,16.0,1.0,16.0,Female,0.0
994,23.0,1.0,19.0,5.0,20.0,Female,0.0
24070,44.0,1.0,15.0,1.0,48.0,Female,0.0
2420,19.0,4.0,16.0,5.0,6.0,Female,0.0
75876,58.0,2.0,21.0,1.0,40.0,Female,0.0
17149,33.0,1.0,16.0,5.0,40.0,Female,0.0
37198,68.0,6.0,22.0,1.0,40.0,Female,0.0
75583,31.0,1.0,22.0,5.0,40.0,Female,0.0
16061,26.0,1.0,21.0,5.0,40.0,Female,0.0
43506,21.0,1.0,16.0,5.0,29.0,Female,0.0
79456,34.0,1.0,16.0,5.0,40.0,Female,0.0
74729,68.0,1.0,1.0,1.0,40.0,Female,0.0
19044,25.0,1.0,19.0,5.0,16.0,Female,0.0
67092,63.0,1.0,12.0,1.0,24.0,Female,0.0
32292,50.0,1.0,19.0,1.0,40.0,Female,0.0
13133,56.0,1.0,16.0,3.0,25.0,Female,0.0
626,19.0,1.0,19.0,5.0,15.0,Female,0.0
4809,58.0,1.0,16.0,1.0,40.0,Female,0.0
73652,54.0,6.0,22.0,5.0,80.0,Female,0.0
50263,59.0,3.0,21.0,5.0,35.0,Female,0.0
97764,28.0,1.0,18.0,1.0,40.0,Female,0.0
85931,23.0,1.0,21.0,5.0,40.0,Female,0.0
17047,36.0,1.0,19.0,4.0,35.0,Female,0.0
90562,45.0,1.0,15.0,4.0,40.0,Female,0.0
49020,68.0,1.0,16.0,5.0,34.0,Female,0.0
29848,25.0,1.0,21.0,1.0,40.0,Female,0.0
53559,60.0,5.0,16.0,4.0,40.0,Female,0.0
92177,26.0,1.0,21.0,5.0,30.0,Female,0.0
22214,35.0,1.0,19.0,1.0,40.0,Female,0.0
50394,60.0,1.0,21.0,1.0,40.0,Female,0.0
99554,47.0,3.0,16.0,1.0,35.0,Female,0.0
93942,42.0,6.0,21.0,1.0,35.0,Female,0.0
37173,24.0,2.0,21.0,5.0,40.0,Female,0.0
22973,26.0,1.0,20.0,1.0,40.0,Female,0.0
46479,25.0,2.0,21.0,5.0,40.0,Female,0.0
71153,47.0,4.0,17.0,1.0,35.0,Female,0.0
71717,29.0,1.0,20.0,1.0,29.0,Female,0.0
47731,43.0,1.0,17.0,1.0,50.0,Female,0.0
89067,54.0,1.0,12.0,3.0,30.0,Female,0.0
23364,34.0,6.0,18.0,5.0,18.0,Female,0.0
48547,47.0,1.0,20.0,1.0,37.0,Female,0.0
42830,53.0,2.0,21.0,1.0,20.0,Female,0.0
3608,20.0,1.0,19.0,5.0,20.0,Female,0.0
68680,57.0,1.0,16.0,5.0,40.0,Female,0.0
4329,36.0,6.0,14.0,5.0,40.0,Female,0.0
71412,31.0,1.0,21.0,5.0,30.0,Female,0.0
77380,26.0,1.0,22.0,1.0,40.0,Female,0.0
45657,49.0,1.0,22.0,1.0,50.0,Female,0.0
91610,22.0,1.0,16.0,5.0,25.0,Female,0.0
80364,27.0,1.0,17.0,5.0,20.0,Female,0.0
48769,61.0,6.0,16.0,1.0,32.0,Female,0.0
72218,28.0,1.0,21.0,5.0,60.0,Female,0.0
10207,32.0,3.0,22.0,3.0,35.0,Female,0.0
21951,60.0,1.0,19.0,1.0,20.0,Female,0.0
82683,29.0,1.0,22.0,5.0,40.0,Female,0.0
23478,26.0,3.0,21.0,5.0,35.0,Female,0.0
56727,60.0,6.0,24.0,1.0,25.0,Female,0.0
43154,32.0,1.0,22.0,5.0,40.0,Female,0.0
3501,19.0,1.0,18.0,5.0,40.0,Female,0.0
40877,29.0,1.0,12.0,5.0,9.0,Female,0.0
11545,71.0,1.0,16.0,1.0,40.0,Female,0.0
64791,54.0,1.0,17.0,1.0,40.0,Female,0.0
24090,56.0,3.0,22.0,1.0,30.0,Female,0.0
55853,23.0,2.0,21.0,5.0,35.0,Female,0.0
82712,33.0,1.0,16.0,1.0,40.0,Female,0.0
46855,28.0,1.0,12.0,5.0,25.0,Female,0.0
