sex,hour,INCOME,workclass,marital,Education,Age
0.0,0.2727272727272727,0,0,0,8,3
1.0,0.40404040404040403,1,4,0,8,4
0.0,0.20202020202020202,0,0,0,8,3
1.0,0.40404040404040403,0,0,0,8,6
0.0,0.40404040404040403,0,0,3,8,1
0.0,0.5454545454545454,0,0,2,8,1
1.0,0.40404040404040403,0,0,0,8,3
1.0,0.40404040404040403,1,0,0,8,5
1.0,0.5050505050505051,1,0,0,8,3
0.0,0.40404040404040403,0,2,0,8,3
1.0,0.20202020202020202,0,0,4,8,0
0.0,0.20202020202020202,0,1,2,8,2
0.0,0.8080808080808081,1,0,2,8,4
0.0,0.45454545454545453,1,2,0,8,2
0.0,0.16161616161616163,0,0,0,8,4
0.0,0.48484848484848486,0,5,0,8,5
0.0,0.10101010101010101,0,0,4,8,0
0.0,0.20202020202020202,0,0,4,8,0
1.0,0.40404040404040403,0,0,4,8,1
0.0,0.25252525252525254,0,0,4,8,1
0.0,0.45454545454545453,0,6,0,8,5
0.0,0.4444444444444444,1,1,0,8,2
1.0,0.45454545454545453,1,0,0,8,3
0.0,0.26262626262626265,0,0,4,8,1
0.0,0.40404040404040403,0,0,0,8,2
1.0,0.40404040404040403,0,0,0,8,1
0.0,0.40404040404040403,0,0,0,8,2
0.0,0.40404040404040403,0,1,0,8,6
0.0,0.5050505050505051,1,0,0,8,5
0.0,0.40404040404040403,0,0,4,8,2
1.0,0.08080808080808081,0,5,0,8,6
0.0,0.5050505050505051,1,1,0,8,5
1.0,0.42424242424242425,0,5,0,8,5
1.0,0.40404040404040403,0,2,4,8,1
0.0,0.15151515151515152,0,0,4,8,0
0.0,0.20202020202020202,0,0,4,8,1
0.0,0.20202020202020202,0,2,0,8,4
0.0,0.40404040404040403,0,0,2,8,3
1.0,0.40404040404040403,0,0,4,8,1
1.0,0.3838383838383838,0,0,1,8,4
1.0,0.08080808080808081,0,0,4,8,0
0.0,0.42424242424242425,0,2,1,8,6
0.0,0.40404040404040403,0,5,0,8,4
1.0,0.40404040404040403,0,0,4,8,2
0.0,0.20202020202020202,0,0,0,8,5
1.0,0.45454545454545453,1,0,0,8,5
0.0,0.40404040404040403,0,0,3,8,2
0.0,0.5050505050505051,1,0,0,8,2
0.0,0.40404040404040403,0,0,4,8,1
1.0,0.25252525252525254,0,6,0,8,4
1.0,0.40404040404040403,1,0,0,8,4
1.0,0.5050505050505051,1,6,0,8,3
0.0,0.40404040404040403,0,1,4,8,1
0.0,0.6060606060606061,1,0,1,8,5
1.0,0.40404040404040403,1,6,2,8,3
1.0,0.40404040404040403,0,1,0,8,2
1.0,0.40404040404040403,0,0,0,8,1
1.0,0.6060606060606061,1,6,0,8,5
0.0,0.35353535353535354,0,2,4,8,4
0.0,0.40404040404040403,0,0,2,8,3
0.0,0.43434343434343436,0,0,0,8,4
1.0,0.40404040404040403,0,0,0,8,2
0.0,0.40404040404040403,0,0,2,8,2
0.0,0.40404040404040403,0,0,4,8,2
1.0,0.6060606060606061,0,5,0,8,3
1.0,0.7272727272727273,0,7,0,8,4
1.0,0.45454545454545453,1,0,0,8,6
0.0,0.30303030303030304,0,0,0,8,4
1.0,0.40404040404040403,0,0,4,8,4
0.0,0.23232323232323232,0,0,4,8,2
0.0,0.40404040404040403,0,0,2,8,3
0.0,0.40404040404040403,0,5,3,8,1
0.0,0.15151515151515152,0,5,1,8,5
1.0,0.32323232323232326,0,0,0,7,4
0.0,0.5050505050505051,0,0,4,8,2
0.0,0.6060606060606061,1,0,0,8,4
1.0,0.45454545454545453,1,0,0,8,2
1.0,0.5050505050505051,1,6,0,8,6
0.0,0.3838383838383838,0,0,0,8,1
0.0,0.23232323232323232,0,0,2,8,4
0.0,0.12121212121212122,0,0,4,8,1
0.0,0.40404040404040403,1,2,0,8,5
0.0,0.40404040404040403,1,1,0,8,4
0.0,0.4444444444444444,0,0,4,8,2
1.0,0.1414141414141414,0,0,0,8,2
0.0,0.30303030303030304,0,6,0,8,5
1.0,0.40404040404040403,0,0,2,8,4
1.0,0.5050505050505051,0,0,1,8,4
1.0,0.5050505050505051,1,0,0,8,5
0.0,0.40404040404040403,0,0,0,8,1
1.0,0.40404040404040403,0,0,4,8,1
0.0,0.12121212121212122,0,0,4,8,1
0.0,0.40404040404040403,0,0,4,8,1
0.0,0.48484848484848486,0,0,0,7,1
1.0,0.5050505050505051,0,5,0,8,5
0.0,0.30303030303030304,1,4,2,8,4
1.0,0.5050505050505051,1,0,0,8,3
1.0,0.48484848484848486,1,6,2,8,5
0.0,0.30303030303030304,0,0,4,8,1
0.0,0.30303030303030304,0,0,0,6,4
0.0,0.20202020202020202,0,1,0,8,5
1.0,0.40404040404040403,1,4,0,8,5
1.0,0.40404040404040403,0,0,4,8,1
0.0,0.20202020202020202,0,0,4,8,1
0.0,0.18181818181818182,0,0,0,8,3
0.0,0.40404040404040403,0,5,1,7,5
0.0,0.25252525252525254,0,0,1,8,6
0.0,0.35353535353535354,0,2,1,8,6
1.0,0.40404040404040403,0,0,4,8,3
0.0,0.40404040404040403,0,0,4,8,3
1.0,0.6565656565656566,1,0,0,8,3
0.0,0.35353535353535354,0,1,0,8,4
1.0,0.40404040404040403,0,0,0,8,2
1.0,0.3838383838383838,0,2,1,8,3
0.0,0.16161616161616163,0,0,0,8,5
0.0,0.40404040404040403,0,3,0,7,3
1.0,0.42424242424242425,0,0,1,8,3
0.0,0.40404040404040403,0,0,0,8,2
1.0,0.40404040404040403,1,2,2,8,4
1.0,0.25252525252525254,0,0,0,8,1
0.0,0.40404040404040403,0,2,0,8,4
1.0,0.40404040404040403,1,0,0,8,5
0.0,0.20202020202020202,0,1,4,8,2
1.0,0.48484848484848486,0,0,4,0,2
0.0,0.30303030303030304,1,1,4,8,5
1.0,0.7070707070707071,0,0,4,8,1
0.0,0.40404040404040403,0,0,4,8,3
0.0,0.45454545454545453,0,1,4,8,0
0.0,0.40404040404040403,0,3,2,8,2
1.0,0.5050505050505051,0,0,0,8,1
0.0,0.30303030303030304,0,5,0,8,1
1.0,0.010101010101010102,0,0,4,8,1
0.0,0.5050505050505051,1,0,0,8,2
1.0,0.40404040404040403,0,0,4,8,2
0.0,0.40404040404040403,0,0,4,8,2
1.0,0.6060606060606061,1,0,0,8,4
1.0,0.40404040404040403,1,2,0,8,4
0.0,0.40404040404040403,0,0,0,8,4
0.0,0.40404040404040403,0,1,4,8,1
0.0,0.40404040404040403,0,0,0,8,3
0.0,0.40404040404040403,0,0,0,8,4
0.0,0.40404040404040403,0,0,2,8,5
1.0,0.5050505050505051,1,0,0,8,4
0.0,0.20202020202020202,0,0,4,8,0
1.0,0.35353535353535354,0,0,4,3,1
1.0,0.43434343434343436,0,0,2,8,4
0.0,0.30303030303030304,0,2,4,8,1
1.0,0.21212121212121213,0,0,4,8,0
0.0,0.25252525252525254,1,6,0,8,6
1.0,0.5050505050505051,1,0,0,8,5
0.0,0.2828282828282828,0,0,0,8,4
1.0,0.35353535353535354,0,6,0,8,5
0.0,0.40404040404040403,0,0,0,8,2
0.0,0.25252525252525254,0,0,4,8,1
0.0,0.40404040404040403,0,0,4,8,1
0.0,0.5555555555555556,1,2,0,8,2
0.0,0.25252525252525254,0,2,0,8,4
0.0,0.48484848484848486,0,0,1,8,4
0.0,0.1111111111111111,0,0,0,8,5
1.0,0.40404040404040403,0,0,2,8,5
1.0,0.7070707070707071,1,0,4,8,2
0.0,0.40404040404040403,0,0,4,8,1
0.0,0.40404040404040403,0,0,0,8,5
0.0,0.20202020202020202,0,0,4,8,1
1.0,0.48484848484848486,1,0,2,8,4
1.0,0.40404040404040403,0,5,0,8,3
1.0,0.40404040404040403,0,5,2,8,4
1.0,0.40404040404040403,1,6,2,8,6
0.0,0.40404040404040403,0,2,0,8,4
0.0,0.32323232323232326,0,0,3,8,5
1.0,0.40404040404040403,1,6,0,8,3
0.0,0.40404040404040403,0,0,4,8,1
0.0,0.40404040404040403,0,0,0,8,1
1.0,0.5050505050505051,1,0,2,8,4
1.0,0.48484848484848486,1,0,0,8,3
1.0,0.40404040404040403,1,0,0,8,4
1.0,0.48484848484848486,0,0,0,8,1
0.0,0.2828282828282828,0,0,0,8,1
0.0,0.42424242424242425,0,0,0,8,2
1.0,0.6060606060606061,1,6,4,8,3
0.0,0.5050505050505051,0,5,0,8,5
0.0,0.40404040404040403,0,0,0,8,5
1.0,0.04040404040404041,0,5,0,8,6
0.0,0.10101010101010101,0,0,4,8,0
0.0,0.30303030303030304,0,0,4,8,1
0.0,0.40404040404040403,0,0,0,8,2
1.0,0.40404040404040403,1,2,0,8,3
0.0,0.47474747474747475,0,5,0,8,2
0.0,0.45454545454545453,1,2,0,8,4
0.0,0.40404040404040403,0,0,0,8,2
1.0,0.40404040404040403,0,0,0,8,2
1.0,0.5050505050505051,1,0,2,8,4
0.0,0.18181818181818182,0,3,4,8,4
0.0,0.45454545454545453,1,1,0,8,5
0.0,0.8686868686868687,1,0,4,8,1
0.0,0.6060606060606061,1,0,4,8,2
0.0,0.40404040404040403,0,1,4,8,2
0.0,0.5050505050505051,1,0,0,8,5
1.0,0.41414141414141414,1,2,0,8,4
1.0,0.5050505050505051,1,0,0,8,2
0.0,0.40404040404040403,0,2,2,8,3
0.0,0.36363636363636365,0,5,0,8,1
0.0,0.40404040404040403,0,2,0,8,4
0.0,0.40404040404040403,0,0,4,8,2
1.0,0.15151515151515152,0,0,0,8,4
1.0,0.25252525252525254,0,0,0,8,4
1.0,0.08080808080808081,0,6,0,8,6
0.0,0.40404040404040403,0,0,4,8,1
0.0,0.40404040404040403,0,0,4,8,1
0.0,0.40404040404040403,0,2,0,8,3
