,sex,hours,INCOME,workclass,marital,Education,Age
0,0.0,0.404040404040404,0.0,3,6,1,5
1,1.0,0.404040404040404,1.0,3,2,8,2
2,1.0,0.404040404040404,0.0,3,0,1,3
3,1.0,0.4848484848484848,0.0,3,2,3,1
4,1.0,0.404040404040404,0.0,3,2,0,2
5,1.0,0.404040404040404,1.0,5,2,8,3
6,1.0,0.4545454545454545,0.0,5,2,3,4
7,1.0,0.5050505050505051,1.0,1,2,8,3
8,1.0,0.4545454545454545,1.0,3,2,8,6
9,0.0,0.101010101010101,0.0,3,4,8,1
10,1.0,0.404040404040404,0.0,3,0,7,4
11,1.0,0.5050505050505051,1.0,3,2,8,5
12,1.0,0.404040404040404,0.0,3,2,3,3
13,1.0,0.404040404040404,0.0,3,2,4,3
14,1.0,0.404040404040404,1.0,0,2,8,3
15,1.0,0.404040404040404,0.0,3,4,4,2
16,1.0,0.5050505050505051,0.0,3,2,3,1
17,0.0,0.202020202020202,0.0,3,4,4,1
18,1.0,0.404040404040404,0.0,3,2,3,3
19,0.0,0.1616161616161616,0.0,0,6,4,6
20,1.0,0.4242424242424242,0.0,3,2,6,3
21,1.0,0.303030303030303,0.0,3,0,3,2
22,1.0,0.404040404040404,0.0,3,4,8,1
23,1.0,0.1515151515151515,0.0,3,4,4,1
24,0.0,0.404040404040404,0.0,3,5,2,2
25,0.0,0.1515151515151515,0.0,3,4,1,0
26,0.0,0.404040404040404,0.0,3,4,4,1
27,1.0,0.3838383838383838,1.0,1,2,8,3
28,1.0,0.404040404040404,0.0,3,0,3,1
29,1.0,0.6060606060606061,0.0,5,2,3,4
30,1.0,0.5050505050505051,0.0,3,0,4,2
31,1.0,0.3636363636363636,0.0,5,2,8,4
32,1.0,0.404040404040404,0.0,3,2,3,4
33,0.0,0.404040404040404,0.0,3,4,7,1
34,1.0,0.4545454545454545,0.0,4,2,3,3
35,0.0,0.404040404040404,0.0,3,5,6,3
36,0.0,0.404040404040404,1.0,3,2,4,3
37,0.0,0.404040404040404,0.0,0,2,0,1
38,1.0,0.3535353535353535,1.0,1,2,8,3
39,0.0,0.4545454545454545,0.0,5,5,3,3
40,1.0,0.404040404040404,0.0,3,2,3,2
41,1.0,0.303030303030303,0.0,3,2,8,2
