sex,hour,INCOME,workclass,marital,Education,Age
1.0,40.0,0.0,0,0,7,3
1.0,40.0,1.0,0,2,8,2
1.0,50.0,1.0,6,0,8,2
0.0,55.0,0.0,0,0,8,2
0.0,55.0,1.0,2,0,8,4
1.0,49.0,1.0,0,4,8,2
1.0,60.0,1.0,6,0,8,3
0.0,23.0,1.0,0,2,8,3
1.0,50.0,1.0,5,0,8,4
1.0,40.0,0.0,0,4,8,1
1.0,35.0,0.0,0,2,8,1
1.0,40.0,0.0,5,0,8,1
1.0,40.0,0.0,0,0,8,1
1.0,60.0,1.0,5,0,8,2
0.0,5.0,0.0,1,0,8,2
1.0,40.0,1.0,2,2,8,4
1.0,40.0,0.0,0,4,8,1
1.0,80.0,1.0,2,0,8,3
1.0,80.0,1.0,1,0,8,3
0.0,45.0,1.0,2,0,8,4
0.0,40.0,1.0,0,2,8,3
1.0,55.0,1.0,0,0,8,2
0.0,40.0,1.0,1,4,8,3
0.0,55.0,0.0,0,0,8,2
1.0,40.0,1.0,6,0,8,4
1.0,50.0,1.0,0,0,8,2
0.0,40.0,1.0,3,0,8,5
1.0,45.0,0.0,0,4,0,1
0.0,40.0,1.0,0,0,8,4
1.0,40.0,0.0,0,0,8,1
1.0,45.0,1.0,0,4,8,3
1.0,40.0,1.0,4,4,8,2
1.0,40.0,0.0,0,4,8,1
0.0,38.0,1.0,0,2,8,3
0.0,50.0,1.0,6,0,8,4
1.0,40.0,1.0,0,0,8,2
1.0,40.0,1.0,0,0,8,4
0.0,40.0,0.0,0,4,8,2
1.0,40.0,1.0,1,0,8,4
0.0,40.0,1.0,3,0,8,4
1.0,40.0,0.0,0,4,8,1
0.0,2.0,1.0,3,2,8,5
0.0,32.0,0.0,0,4,8,1
0.0,30.0,1.0,0,0,8,4
0.0,40.0,0.0,1,0,8,2
0.0,45.0,1.0,2,0,8,3
0.0,40.0,0.0,4,4,8,1
1.0,45.0,1.0,3,0,8,5
1.0,40.0,1.0,0,4,8,2
1.0,40.0,1.0,0,0,8,5
0.0,45.0,1.0,0,2,8,5
1.0,40.0,0.0,0,4,8,1
1.0,40.0,1.0,4,0,8,2
0.0,45.0,1.0,0,4,8,2
0.0,40.0,0.0,0,4,8,1
1.0,40.0,1.0,2,4,8,2
0.0,30.0,1.0,2,0,8,4
0.0,38.0,0.0,0,4,8,1
0.0,45.0,1.0,1,0,8,5
0.0,60.0,0.0,0,0,8,2
1.0,50.0,1.0,0,0,8,4
1.0,40.0,1.0,0,2,8,4
1.0,48.0,0.0,0,0,8,1
0.0,35.0,0.0,3,4,8,2
1.0,50.0,1.0,0,0,8,5
0.0,60.0,1.0,6,2,8,4
0.0,20.0,1.0,1,0,8,4
1.0,40.0,1.0,0,0,8,2
0.0,40.0,0.0,0,0,4,5
1.0,42.0,1.0,0,0,8,2
0.0,40.0,0.0,0,0,8,2
0.0,40.0,0.0,0,0,8,2
1.0,25.0,0.0,0,4,8,0
0.0,25.0,0.0,0,0,8,1
1.0,40.0,1.0,2,0,8,4
0.0,24.0,1.0,1,0,8,5
1.0,40.0,0.0,0,4,8,1
1.0,40.0,1.0,0,0,8,2
1.0,45.0,1.0,2,0,8,5
1.0,70.0,1.0,0,0,8,4
1.0,45.0,0.0,0,4,8,1
1.0,40.0,0.0,2,4,8,1
0.0,20.0,1.0,0,0,8,4
0.0,48.0,1.0,0,0,8,5
0.0,50.0,1.0,0,0,8,4
0.0,40.0,0.0,1,4,8,2
1.0,40.0,1.0,0,0,8,2
0.0,40.0,1.0,0,2,8,4
0.0,25.0,1.0,0,4,8,4
0.0,38.0,1.0,1,4,8,6
1.0,40.0,1.0,0,0,8,4
0.0,80.0,0.0,0,4,8,1
0.0,40.0,1.0,0,0,8,6
1.0,40.0,1.0,0,0,8,4
1.0,36.0,0.0,5,3,7,4
0.0,20.0,1.0,6,0,8,6
1.0,40.0,1.0,0,0,8,4
0.0,38.0,1.0,6,2,8,5
0.0,36.0,1.0,0,0,8,5
0.0,40.0,1.0,0,2,8,3
0.0,50.0,0.0,0,4,8,2
0.0,40.0,0.0,3,0,8,2
0.0,40.0,1.0,1,0,8,5
0.0,40.0,0.0,2,0,8,2
1.0,40.0,1.0,0,0,8,2
1.0,40.0,1.0,0,4,8,5
0.0,32.0,0.0,0,4,8,1
1.0,40.0,1.0,0,0,8,5
1.0,30.0,1.0,0,0,8,4
0.0,40.0,0.0,2,0,8,2
1.0,10.0,0.0,0,4,8,0
0.0,10.0,0.0,6,4,8,0
1.0,50.0,1.0,1,4,8,3
1.0,4.0,1.0,3,0,8,6
0.0,40.0,1.0,0,0,8,4
0.0,45.0,0.0,0,0,8,2
0.0,40.0,0.0,0,4,8,1
0.0,40.0,1.0,3,0,8,3
0.0,36.0,1.0,0,0,8,5
0.0,20.0,1.0,0,0,8,4
0.0,45.0,1.0,0,4,8,4
1.0,37.0,1.0,0,0,8,3
1.0,20.0,1.0,5,4,8,5
1.0,40.0,1.0,0,4,8,2
0.0,40.0,0.0,0,4,8,0
0.0,30.0,0.0,0,4,8,1
1.0,40.0,1.0,0,4,8,5
1.0,40.0,1.0,5,0,8,3
0.0,52.0,0.0,0,0,8,2
0.0,40.0,1.0,1,0,8,4
1.0,42.0,0.0,4,4,8,1
0.0,30.0,0.0,0,4,8,0
0.0,40.0,1.0,0,2,8,4
1.0,40.0,1.0,5,0,8,4
1.0,40.0,1.0,0,2,8,4
1.0,20.0,0.0,0,4,8,1
1.0,55.0,1.0,0,4,8,4
0.0,40.0,1.0,2,0,8,3
1.0,20.0,0.0,0,4,8,0
0.0,40.0,0.0,0,4,8,1
0.0,45.0,1.0,0,0,8,3
0.0,45.0,0.0,0,0,8,2
0.0,45.0,0.0,0,4,8,1
1.0,35.0,1.0,5,2,8,3
1.0,25.0,1.0,5,4,8,2
0.0,2.0,1.0,5,0,8,4
0.0,45.0,1.0,0,4,8,4
1.0,66.0,1.0,0,0,8,5
0.0,40.0,1.0,0,4,8,3
1.0,40.0,1.0,0,0,8,4
1.0,40.0,1.0,0,0,8,4
0.0,30.0,0.0,0,0,8,2
1.0,40.0,1.0,0,0,8,2
1.0,18.0,1.0,0,0,8,5
0.0,30.0,0.0,0,4,8,1
1.0,40.0,0.0,0,0,8,1
0.0,40.0,0.0,0,4,8,3
1.0,40.0,0.0,0,4,2,2
1.0,40.0,1.0,0,0,8,3
1.0,35.0,1.0,5,2,8,3
1.0,50.0,1.0,0,0,8,4
1.0,44.0,1.0,0,0,8,4
1.0,24.0,1.0,0,0,8,2
1.0,12.0,0.0,1,4,8,1
0.0,40.0,0.0,2,0,8,1
0.0,40.0,1.0,5,4,8,5
1.0,40.0,0.0,0,4,8,0
0.0,40.0,0.0,0,4,8,1
0.0,38.0,1.0,2,0,8,3
1.0,45.0,1.0,0,0,8,5
0.0,45.0,0.0,0,4,8,2
0.0,99.0,0.0,5,4,8,1
1.0,60.0,1.0,0,0,8,3
1.0,40.0,1.0,0,0,8,2
1.0,40.0,1.0,0,0,8,2
0.0,40.0,0.0,0,0,8,2
1.0,40.0,1.0,0,0,8,3
1.0,18.0,1.0,0,0,8,5
1.0,30.0,1.0,0,0,8,3
0.0,40.0,1.0,0,0,8,3
1.0,30.0,1.0,0,4,8,4
0.0,35.0,1.0,0,0,8,4
1.0,60.0,0.0,0,0,8,1
0.0,35.0,1.0,3,0,8,5
0.0,40.0,0.0,0,0,8,1
0.0,40.0,0.0,0,4,8,1
1.0,40.0,1.0,0,0,8,2
0.0,40.0,0.0,0,0,8,2
0.0,40.0,1.0,3,2,8,4
0.0,40.0,1.0,0,0,8,3
1.0,30.0,1.0,0,0,8,3
0.0,37.0,0.0,0,0,8,2
0.0,12.0,0.0,0,4,8,0
0.0,40.0,1.0,0,4,8,4
0.0,40.0,0.0,0,4,8,1
0.0,50.0,0.0,1,0,8,2
1.0,40.0,1.0,0,4,8,4
0.0,40.0,1.0,5,0,8,3
0.0,40.0,0.0,0,0,8,1
1.0,40.0,1.0,0,0,8,2
0.0,40.0,1.0,1,0,8,3
0.0,40.0,1.0,0,0,8,3
1.0,40.0,1.0,0,3,8,5
0.0,40.0,1.0,0,0,8,3
1.0,40.0,1.0,0,0,8,5
0.0,55.0,1.0,0,0,8,3
0.0,40.0,1.0,2,0,8,5
1.0,40.0,1.0,0,0,8,3
0.0,38.0,0.0,0,4,8,1
1.0,42.0,1.0,0,0,8,2
0.0,40.0,1.0,0,0,8,4
1.0,45.0,1.0,0,0,8,4
1.0,16.0,0.0,0,4,8,1
0.0,10.0,0.0,0,4,8,1
0.0,40.0,1.0,2,2,8,4
1.0,40.0,1.0,0,0,8,3
0.0,8.0,0.0,3,4,8,0
0.0,30.0,0.0,0,4,8,2
1.0,40.0,0.0,0,4,8,0
0.0,32.0,0.0,0,4,8,1
0.0,45.0,1.0,0,2,8,4
1.0,45.0,1.0,1,0,8,2
0.0,40.0,1.0,1,0,8,3
0.0,29.0,0.0,0,0,8,1
1.0,40.0,1.0,0,0,8,2
1.0,4.0,0.0,0,4,8,0
1.0,70.0,1.0,0,0,8,3
1.0,40.0,1.0,0,0,8,2
0.0,35.0,1.0,0,2,8,3
1.0,99.0,1.0,2,0,8,2
1.0,25.0,0.0,1,4,8,1
0.0,30.0,1.0,0,0,8,4
1.0,40.0,1.0,0,2,8,5
1.0,30.0,1.0,5,0,8,5
0.0,70.0,0.0,0,2,5,2
0.0,18.0,0.0,0,4,8,1
0.0,8.0,1.0,5,0,8,4
1.0,8.0,0.0,0,4,8,1
0.0,30.0,0.0,0,4,8,1
0.0,16.0,1.0,0,4,8,6
1.0,40.0,1.0,2,0,8,3
0.0,15.0,1.0,0,0,8,4
0.0,60.0,0.0,0,4,8,2
0.0,50.0,0.0,0,0,8,2
0.0,38.0,1.0,3,0,8,4
0.0,40.0,1.0,3,0,8,3
0.0,27.0,1.0,1,0,8,5
0.0,40.0,0.0,0,4,8,1
0.0,52.0,1.0,0,2,8,4
0.0,24.0,1.0,6,0,8,6
1.0,43.0,1.0,4,4,8,2
1.0,55.0,1.0,0,4,8,2
0.0,30.0,0.0,1,0,6,4
1.0,40.0,1.0,0,0,8,3
1.0,40.0,1.0,0,4,8,2
0.0,60.0,1.0,5,0,8,5
1.0,40.0,0.0,0,4,8,1
0.0,40.0,0.0,1,4,8,1
0.0,20.0,1.0,5,0,8,6
1.0,40.0,1.0,6,0,8,5
1.0,50.0,1.0,6,0,8,3
0.0,35.0,1.0,2,0,8,3
0.0,12.0,1.0,0,0,8,6
0.0,40.0,1.0,5,0,8,2
