AGEP,COW,SCHL,MAR,WKHP,SEX,INCOME
39,7,9,4,40,0,0
50,6,9,2,13,0,0
38,4,11,0,40,0,0
53,4,1,2,40,0,0
28,4,9,2,40,1,0
37,4,12,2,40,1,0
49,4,6,3,16,1,0
52,6,11,2,45,0,1
31,4,12,4,50,1,1
42,4,9,2,40,0,1
37,4,15,2,80,0,1
30,7,9,2,40,0,1
23,4,9,4,30,1,0
32,4,7,4,50,0,0
40,4,8,2,40,0,1
34,4,5,2,45,0,0
25,6,11,4,35,0,0
32,4,11,4,40,0,0
38,4,1,2,50,0,0
43,6,12,0,45,1,1
40,4,10,2,60,0,1
54,4,11,5,20,1,0
35,1,6,2,40,0,0
43,4,1,2,40,0,0
59,4,11,0,40,1,0
56,2,9,2,40,0,1
19,4,11,4,40,0,0
54,0,15,2,60,0,1
39,4,11,0,80,0,0
49,4,11,2,40,0,0
23,2,7,4,52,0,0
20,4,15,4,44,0,0
45,4,9,0,40,0,0
30,1,15,2,40,0,0
22,7,15,2,15,0,0
48,4,1,4,40,0,0
21,4,15,4,40,0,0
19,4,11,1,25,1,0
31,4,15,2,38,0,1
48,6,7,2,40,0,0
31,4,6,2,43,0,0
53,6,9,2,40,0,0
24,4,9,2,50,0,0
49,4,11,5,40,1,0
25,4,11,4,35,0,0
57,1,9,2,40,0,1
53,4,11,2,38,0,0
44,4,12,0,40,1,0
41,7,8,2,40,0,0
29,4,8,4,43,0,0
25,4,15,2,40,1,0
18,4,11,4,30,1,0
47,4,14,2,60,1,1
50,1,9,0,55,0,1
47,5,11,0,60,0,0
43,4,15,2,40,0,1
46,4,4,2,40,0,0
35,4,8,2,40,0,0
41,4,11,2,48,0,0
30,4,11,2,40,0,0
30,4,9,2,40,0,0
32,0,5,3,40,0,0
48,4,11,2,40,0,0
42,4,10,2,45,0,1
29,4,15,0,58,0,0
36,4,11,2,40,0,0
28,4,15,0,40,1,0
53,4,11,2,40,1,1
49,5,15,2,50,0,1
25,0,15,4,40,0,0
19,4,15,4,32,0,0
31,4,9,5,40,1,0
29,6,9,2,70,0,1
23,4,15,4,40,0,0
79,4,15,2,20,0,0
27,4,11,4,40,0,0
40,4,7,2,40,0,0
67,0,0,2,2,0,0
18,4,1,4,22,1,0
31,2,5,2,40,0,0
18,4,11,4,30,0,0
52,4,9,2,40,0,0
46,4,11,2,40,1,0
59,4,11,2,48,0,0
44,4,11,0,40,1,1
53,4,11,0,35,1,0
49,2,11,2,40,0,1
33,4,12,2,50,0,0
30,4,6,4,40,0,0
43,1,10,4,50,1,1
57,4,8,2,40,0,0
37,4,15,0,40,1,0
28,4,15,0,25,1,0
30,4,11,2,35,1,0
34,2,9,2,40,0,1
29,2,15,4,50,0,0
48,6,10,2,60,0,1
37,4,15,2,48,0,1
48,4,7,0,40,1,0
32,1,11,4,40,0,0
76,4,12,2,40,0,1
44,4,9,2,60,0,1
47,6,12,4,50,1,0
20,4,15,4,40,1,0
29,4,11,4,40,0,0
32,5,11,2,40,0,1
17,0,0,4,32,1,0
30,4,1,4,40,0,0
31,2,11,4,40,1,0
42,4,11,2,40,0,0
24,4,9,4,40,0,0
38,4,14,2,40,0,1
56,6,11,2,50,0,1
28,4,15,2,25,1,0
36,4,11,4,40,1,0
53,4,6,2,50,0,0
56,5,15,2,50,0,0
49,2,8,2,40,0,1
55,4,15,2,56,0,0
22,4,11,4,41,0,0
21,4,15,4,40,1,0
40,4,9,2,60,0,0
30,4,9,4,40,0,0
29,7,9,2,50,0,1
19,4,15,4,35,0,0
47,4,9,2,40,1,1
20,4,15,4,28,1,0
31,4,7,2,40,0,1
35,0,11,2,40,0,0
39,4,15,0,40,0,0
28,4,7,4,60,1,0
24,4,11,4,40,1,0
38,6,11,2,35,0,0
37,4,9,2,50,0,0
46,4,7,0,36,1,0
38,1,12,2,40,0,1
43,6,11,2,60,0,0
27,4,8,2,35,1,0
20,4,15,4,20,0,0
49,4,15,2,40,0,1
61,5,11,2,40,0,0
27,4,15,4,40,1,0
19,4,15,4,30,0,0
45,4,8,4,40,1,1
70,4,15,4,40,0,0
31,4,11,4,30,1,0
22,4,15,2,24,0,0
36,4,11,6,24,1,0
64,4,1,2,40,0,0
43,0,15,0,40,1,0
47,2,15,0,38,1,0
34,4,11,4,40,1,0
33,4,9,4,40,1,0
21,4,11,4,35,0,0
52,0,11,0,45,0,1
48,4,11,2,46,0,0
23,4,9,4,40,0,0
71,6,15,5,2,0,0
29,4,11,0,60,0,0
42,4,9,5,50,0,0
68,0,3,0,20,1,0
25,4,11,4,40,1,0
44,5,12,0,40,1,0
28,4,11,4,40,1,0
45,6,12,2,40,0,1
36,4,15,0,40,1,0
39,1,7,4,42,0,0
46,7,12,6,40,0,0
18,4,1,4,16,0,0
66,2,8,6,20,1,0
27,4,11,4,40,0,0
28,7,11,2,40,0,0
51,4,15,2,40,0,1
27,4,9,4,50,0,0
28,7,9,2,40,0,1
27,4,11,3,25,1,0
21,4,11,4,40,0,0
34,4,11,4,40,0,0
18,4,11,4,12,0,0
33,4,9,2,65,0,0
44,2,15,2,38,0,1
43,4,15,0,40,1,0
30,4,15,4,45,0,0
40,4,5,2,40,0,1
37,1,15,2,42,0,1
34,4,11,2,40,0,0
41,6,9,0,40,1,0
53,0,9,0,50,1,0
31,4,12,2,50,1,0
58,7,10,2,1,0,1
38,4,15,0,28,1,0
24,4,15,2,40,0,0
41,2,9,2,40,0,0
47,4,15,2,45,0,0
41,1,9,2,24,0,0
23,4,4,2,40,0,0
36,4,15,0,40,0,0
40,1,12,4,55,1,1
35,4,12,2,40,0,1
24,6,11,4,40,0,0
26,4,12,4,40,1,0
19,0,11,4,40,0,0
51,4,9,2,50,0,1
42,2,15,4,40,1,0
37,7,11,0,35,1,0
18,4,1,4,40,1,0
36,4,9,2,36,0,1
35,4,11,0,60,0,0
58,5,11,2,35,1,1
17,4,1,4,12,1,0
44,2,11,2,40,0,0
37,4,11,2,40,0,1
35,4,15,4,40,1,0
60,4,11,2,40,0,0
54,5,5,2,40,0,1
37,4,9,4,60,0,1
50,4,7,0,40,1,0
38,4,9,2,50,0,0
45,4,9,2,55,0,0
25,4,0,4,40,0,0
31,4,15,2,40,0,0
64,0,3,0,40,0,0
90,4,11,4,40,0,0
54,4,11,2,20,0,0
53,2,13,4,35,1,0
18,4,11,4,40,1,0
60,0,0,0,10,1,0
66,6,11,2,50,0,0
75,4,8,6,20,1,0
65,4,11,0,40,1,0
35,4,1,5,40,0,0
41,4,11,0,38,1,0
25,4,15,4,42,0,0
33,4,15,0,40,1,0
28,4,14,4,55,0,1
59,7,11,2,40,0,0
40,7,15,4,38,1,0
41,4,9,2,50,0,1
38,2,12,2,70,0,1
23,4,11,4,40,0,0
40,4,9,2,40,0,1
41,6,11,2,20,1,0
24,7,7,2,50,0,0
20,0,15,4,20,0,0
38,4,15,0,40,0,0
56,4,11,2,35,0,0
58,4,11,2,45,0,1
32,4,11,4,34,1,0
40,4,7,2,60,0,1
45,4,11,2,40,0,0
41,4,14,2,40,1,1
42,4,9,2,40,1,0
59,2,0,6,30,1,0
19,2,15,4,40,0,0
58,4,15,4,20,0,0
42,6,11,2,40,0,1
20,4,11,4,40,1,0
32,4,11,5,30,1,0
45,4,8,6,45,1,0
50,4,5,0,40,0,0
36,4,9,0,40,1,0
45,4,11,2,60,0,0
17,4,1,4,12,0,0
59,4,15,2,40,0,0
26,4,1,2,40,0,0
37,5,15,2,75,0,1
19,0,15,4,24,0,0
64,4,11,2,40,0,1
33,4,9,4,45,1,0
33,4,11,2,40,1,1
61,4,11,2,40,0,1
17,4,6,4,24,0,0
50,6,12,2,98,0,0
27,2,12,4,35,0,0
30,4,11,0,40,1,0
43,4,11,2,40,0,0
44,4,15,2,40,0,1
35,4,15,4,40,1,0
25,4,15,4,40,1,0
24,4,15,2,48,1,1
22,4,9,4,15,1,0
42,2,15,2,40,0,1
34,4,7,0,45,1,0
60,4,9,0,42,1,0
21,4,11,4,40,0,0
57,1,12,2,40,0,1
41,4,14,2,60,0,1
50,4,15,0,45,0,0
25,4,9,4,40,1,0
50,4,5,2,40,0,0
36,4,9,2,45,0,0
31,4,11,0,40,1,0
29,2,9,4,56,0,0
21,4,15,4,45,0,0
27,4,9,4,40,1,0
65,4,11,2,16,0,0
37,5,9,0,60,1,0
39,0,12,2,40,1,0
24,4,11,4,40,0,0
38,4,11,0,80,0,0
48,4,9,2,40,0,1
21,4,15,4,25,1,0
31,4,11,2,45,0,1
55,4,11,2,40,0,1
24,4,15,2,40,1,0
43,4,11,0,40,1,0
26,4,7,4,45,0,0
46,4,7,4,33,1,0
35,4,7,2,40,0,1
41,5,15,2,54,0,1
26,4,9,4,40,0,0
34,4,12,2,35,0,1
19,0,15,4,25,1,0
36,6,9,0,40,1,1
22,4,15,4,15,0,0
24,4,15,4,40,0,0
77,6,15,2,40,0,0
22,4,4,2,40,1,0
29,4,15,4,40,1,0
62,4,11,6,24,1,0
39,6,11,2,40,0,0
43,4,15,2,50,0,0
35,4,11,0,45,0,0
29,4,1,4,40,1,0
76,6,12,2,10,0,0
63,6,11,2,45,0,0
23,0,8,4,15,1,0
43,4,15,2,50,1,1
58,6,11,2,40,0,0
66,4,11,4,55,0,0
41,4,15,4,45,0,0
26,4,9,4,40,0,0
47,4,8,4,40,0,0
55,2,0,2,40,0,0
53,4,11,2,40,0,0
17,4,4,4,48,0,0
30,4,11,4,40,0,0
49,4,12,4,60,0,0
19,4,11,4,30,0,0
45,4,11,2,40,0,0
26,4,7,4,40,0,0
38,4,8,2,40,0,1
36,7,11,2,40,0,1
33,4,11,4,20,0,0
22,7,15,4,40,1,0
43,6,9,4,42,0,0
67,0,1,2,8,0,0
30,0,8,0,40,1,0
56,4,7,3,25,0,0
31,4,9,4,25,0,0
33,4,9,2,40,0,1
26,4,11,2,40,0,0
33,4,9,2,40,0,1
46,2,1,2,30,0,0
59,0,9,2,40,0,1
38,1,11,2,40,0,1
65,4,1,6,40,0,0
40,4,8,2,40,0,1
42,4,11,2,35,1,0
26,6,6,2,40,0,0
36,4,0,2,24,1,0
62,4,12,2,40,0,1
43,4,9,2,45,0,0
43,4,9,0,45,0,1
22,4,11,3,55,0,0
28,4,11,2,40,0,0
56,6,15,2,45,0,0
22,4,7,4,15,1,0
57,4,9,0,45,1,1
39,4,11,0,40,1,0
26,1,15,4,15,1,0
17,4,1,4,10,0,0
40,7,8,2,38,0,1
45,4,11,2,40,0,0
44,4,11,4,40,0,0
20,2,15,4,10,1,0
33,4,11,2,40,1,0
23,4,15,4,40,0,0
46,6,12,0,30,0,0
38,4,11,2,50,0,0
54,4,11,0,40,0,0
46,4,4,0,45,1,0
25,4,15,2,40,0,0
46,4,15,0,40,1,0
36,2,15,2,40,1,0
23,4,11,4,25,1,0
29,4,11,5,40,0,0
44,4,15,2,6,1,1
19,4,15,4,16,1,0
19,4,11,4,40,1,0
35,4,11,2,40,1,1
27,4,9,4,50,0,0
46,6,7,5,40,0,0
34,7,9,2,45,0,1
34,4,11,4,35,1,0
44,4,15,2,40,0,0
45,4,15,0,40,1,0
20,0,11,4,35,1,0
25,4,9,2,55,0,1
52,5,9,2,50,0,1
20,4,15,4,40,0,0
28,4,15,4,40,1,0
50,7,9,2,40,0,1
34,4,8,0,64,1,0
28,4,5,2,40,0,0
41,4,12,2,65,0,1
28,4,11,2,40,0,0
46,6,11,2,25,0,0
28,0,15,2,40,1,1
32,4,15,2,50,0,0
41,2,15,0,24,1,0
24,4,11,4,40,1,0
33,4,15,0,40,1,0
46,4,10,2,60,0,1
31,7,15,2,40,0,0
35,4,2,0,50,0,1
52,4,3,2,40,0,0
30,4,1,4,19,1,0
34,2,1,5,40,0,0
34,7,11,0,40,1,0
20,4,15,2,30,0,0
17,4,1,4,18,0,0
32,7,9,2,40,1,1
29,4,11,0,40,0,0
33,4,0,4,35,1,0
25,4,11,2,60,0,0
36,1,12,4,40,0,0
23,4,11,4,72,0,0
63,5,11,2,40,0,1
47,2,12,2,40,0,0
80,0,11,6,24,0,0
17,0,1,4,40,0,0
40,6,9,3,40,1,0
30,4,7,2,25,1,1
27,4,15,4,40,0,0
33,4,12,2,50,0,1
34,2,11,4,60,0,0
34,2,15,4,40,1,0
23,4,15,2,40,0,0
42,2,15,2,40,1,0
29,4,9,4,40,0,0
45,4,11,0,28,1,0
24,1,11,4,40,0,0
44,4,15,2,40,0,1
27,4,6,4,40,0,0
20,4,15,4,35,0,0
44,4,11,6,40,1,0
51,4,11,2,40,0,0
20,4,11,2,40,0,0
17,0,1,4,5,1,0
19,4,11,4,40,1,0
45,5,15,2,55,0,1
60,4,11,2,40,0,1
42,4,7,2,40,0,1
44,6,11,2,40,1,1
40,4,8,2,40,0,1
30,4,11,2,40,1,0
38,4,15,2,50,0,0
23,4,11,2,60,0,0
32,0,15,2,40,0,0
44,4,7,4,40,0,0
54,2,11,2,40,0,0
32,4,9,2,50,0,0
50,4,3,3,40,0,0
24,4,9,4,20,1,0
37,4,11,2,60,1,0
52,4,11,0,40,0,0
38,4,15,2,40,0,0
49,4,12,2,45,0,1
30,4,9,2,16,1,1
60,4,15,4,40,0,1
22,0,15,4,40,0,0
35,4,11,4,40,0,0
30,4,11,4,60,0,0
67,4,8,0,24,1,0
46,4,9,4,40,1,0
17,4,6,4,6,0,0
22,4,15,4,30,0,0
27,4,0,4,40,0,0
23,4,11,4,35,1,0
33,4,7,2,45,0,0
43,6,15,2,20,0,0
28,7,9,4,20,0,0
41,4,11,3,40,1,0
52,0,2,4,40,0,0
25,4,15,3,20,1,0
63,0,3,2,35,0,0
59,2,11,2,45,0,0
45,2,9,0,40,1,0
38,4,9,2,60,0,1
40,4,11,4,35,1,0
46,1,11,0,40,0,0
35,4,7,4,60,1,0
34,4,11,0,25,1,0
33,4,9,4,20,0,0
41,4,11,0,36,1,0
20,4,15,4,40,0,0
23,4,4,4,40,0,0
26,4,15,4,35,1,0
72,0,11,2,20,0,0
23,2,11,4,40,0,0
62,2,11,2,40,0,0
52,4,15,2,40,0,0
58,4,15,0,42,1,0
25,4,9,4,40,1,0
24,4,9,4,40,0,0
19,4,15,4,8,0,0
43,4,15,2,40,0,0
47,2,11,5,40,1,0
39,4,11,0,40,1,0
49,4,8,3,42,0,0
53,0,4,6,30,1,0
32,4,8,4,45,0,0
34,4,15,2,50,0,1
28,4,11,0,45,0,0
57,0,8,6,38,1,0
25,4,15,4,20,1,0
20,0,15,4,24,0,0
21,0,15,4,35,1,0
34,4,9,2,50,0,1
38,5,9,2,80,0,1
50,4,11,2,50,0,1
24,2,15,0,50,0,0
37,2,15,2,45,0,1
44,4,15,0,58,0,1
28,4,15,2,40,1,0
42,4,9,2,40,0,1
74,4,15,0,9,1,0
38,6,11,2,50,0,0
44,6,12,2,40,0,0
44,4,1,0,46,1,0
